qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases
39	CP125156.1	1	1688	3524	5209	0.0	2784.0	96.452	100	5369247	1688	1.0	0
101	CP125156.1	1	155	5232	5386	2.96e-60	237.0	94.194	100	5369247	155	1.0	0
132_R	CP125156.1	2	104	5405	5507	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
128	CP125156.1	1	114	5531	5644	5.78e-41	172.0	93.86	100	5369247	114	1.0	0
92_R	CP125156.1	3	199	91897	92092	1.4199999999999999e-69	268.0	91.371	99	5369247	199	0.9899497487437184	0
107	CP125156.1	1	135	92145	92281	9.359999999999999e-55	219.0	95.62	99	5369247	139	0.9712230215827338	0
43_R	CP125156.1	5	1475	92290	93758	0.0	2471.0	97.009	99	5369247	1475	0.9972881355932204	0
114_R	CP125156.1	1	131	93765	93897	6.76e-51	206.0	94.737	100	5369247	131	1.0	0
130	CP125156.1	16	99	93929	94012	5.41e-36	156.0	100.0	78	5369247	108	0.7777777777777778	0
68_R	CP125156.1	1	347	94170	94516	6.56e-150	536.0	94.54	100	5369247	347	1.0	0
89_R	CP125156.1	1	209	94518	94726	4.08e-90	337.0	95.694	99	5369247	210	0.9952380952380953	0
99_R	CP125156.1	110	159	94733	94783	3.26e-15	87.9	98.039	31	5369247	159	0.3144654088050314	0
57	CP125156.1	1	523	94831	95353	0.0	922.0	98.47	100	5369247	523	1.0	0
39	CP125156.1	1	1688	95414	97098	0.0	2776.0	96.393	100	5369247	1688	1.0	0
132_R	CP125156.1	2	104	97199	97301	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
106	CP125156.1	1	92	97426	97516	4.5600000000000005e-33	147.0	95.699	65	5369247	141	0.6524822695035462	0
112	CP125156.1	6	86	101474	101554	3.2399999999999997e-34	150.0	100.0	100	5369247	132	0.6136363636363636	0
77	CP125156.1	1	272	102207	102478	1.14e-116	425.0	94.853	99	5369247	273	0.9963369963369964	0
103	CP125156.1	1	152	102480	102631	6.17e-67	259.0	97.368	100	5369247	152	1.0	0
24	CP125156.1	382	12675	103120	115412	0.0	17976.0	93.068	41	5369247	30210	0.4069513406156901	0
134	CP125156.1	1	100	137043	137142	2.93e-33	147.0	93.069	100	5369247	100	1.0	0
92_R	CP125156.1	104	199	137127	137222	2.5100000000000004e-27	128.0	90.722	99	5369247	199	0.4824120603015075	0
107	CP125156.1	1	135	137275	137411	9.359999999999999e-55	219.0	95.62	99	5369247	139	0.9712230215827338	0
43_R	CP125156.1	5	1475	137420	138888	0.0	2494.0	97.283	99	5369247	1475	0.9972881355932204	0
68_R	CP125156.1	1	347	139214	139560	6.56e-150	536.0	94.54	100	5369247	347	1.0	0
89_R	CP125156.1	1	209	139562	139769	6.82e-88	329.0	95.215	99	5369247	210	0.9952380952380953	0
99_R	CP125156.1	110	159	139776	139826	3.26e-15	87.9	98.039	31	5369247	159	0.3144654088050314	0
57	CP125156.1	1	523	139874	140396	0.0	922.0	98.47	100	5369247	523	1.0	0
39	CP125156.1	1	1688	140457	142141	0.0	2776.0	96.393	100	5369247	1688	1.0	0
132_R	CP125156.1	2	104	142237	142339	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
107	CP125156.1	1	135	524125	524261	9.359999999999999e-55	219.0	95.62	99	5369247	139	0.9712230215827338	0
43_R	CP125156.1	5	1475	524270	525739	0.0	2499.0	97.349	99	5369247	1475	0.9972881355932204	0
68_R	CP125156.1	1	347	526057	526403	6.56e-150	536.0	94.54	100	5369247	347	1.0	0
89_R	CP125156.1	1	209	526405	526613	1.9e-88	331.0	95.215	99	5369247	210	0.9952380952380953	0
99_R	CP125156.1	110	159	526620	526670	3.26e-15	87.9	98.039	31	5369247	159	0.3144654088050314	0
57	CP125156.1	1	523	526718	527240	0.0	922.0	98.47	100	5369247	523	1.0	0
39	CP125156.1	1	1688	527301	528986	0.0	2784.0	96.452	100	5369247	1688	1.0	0
132_R	CP125156.1	2	104	529176	529278	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
106	CP125156.1	1	92	529403	529493	4.5600000000000005e-33	147.0	95.699	65	5369247	141	0.6524822695035462	0
134	CP125156.1	1	100	901333	901432	1.3600000000000001e-31	141.0	92.079	100	5369247	100	1.0	0
107	CP125156.1	1	135	901568	901704	4.36e-53	213.0	94.891	99	5369247	139	0.9712230215827338	0
43_R	CP125156.1	5	1475	901713	903181	0.0	2483.0	97.147	99	5369247	1475	0.9972881355932204	0
114_R	CP125156.1	1	131	903188	903320	1.4499999999999999e-52	211.0	95.489	100	5369247	131	1.0	0
130	CP125156.1	16	99	903352	903435	5.41e-36	156.0	100.0	78	5369247	108	0.7777777777777778	0
68_R	CP125156.1	1	347	903593	903939	6.56e-150	536.0	94.54	100	5369247	347	1.0	0
89_R	CP125156.1	1	209	903941	904149	4.08e-90	337.0	95.694	99	5369247	210	0.9952380952380953	0
99_R	CP125156.1	110	159	904156	904206	3.26e-15	87.9	98.039	31	5369247	159	0.3144654088050314	0
57	CP125156.1	1	523	904254	904776	0.0	917.0	98.279	100	5369247	523	1.0	0
39	CP125156.1	1	1688	904837	906521	0.0	2771.0	96.334	100	5369247	1688	1.0	0
132_R	CP125156.1	2	104	906617	906719	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
128	CP125156.1	1	114	906743	906856	5.78e-41	172.0	93.86	100	5369247	114	1.0	0
128	CP125156.1	37	114	916231	916308	5.86e-31	139.0	98.718	100	5369247	114	0.6842105263157895	0
130_R	CP125156.1	13	89	3680253	3680329	1.99e-20	104.0	90.909	78	5369247	108	0.7129629629629629	0
132	CP125156.1	1	103	3875187	3875289	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
39_R	CP125156.1	1	1688	3875385	3877069	0.0	2760.0	96.215	100	5369247	1688	1.0	0
57_R	CP125156.1	1	523	3877130	3877652	0.0	922.0	98.47	100	5369247	523	1.0	0
99	CP125156.1	1	50	3877700	3877750	3.26e-15	87.9	98.039	31	5369247	159	0.3144654088050314	0
89	CP125156.1	2	207	3877757	3877962	4.08e-90	337.0	96.117	99	5369247	210	0.9809523809523808	0
68	CP125156.1	1	347	3877967	3878313	1.4e-156	558.0	95.69	100	5369247	347	1.0	0
43	CP125156.1	1	1471	3878631	3880099	0.0	2483.0	97.147	99	5369247	1475	0.9972881355932204	0
107_R	CP125156.1	2	139	3880105	3880244	9.359999999999999e-55	219.0	95.0	99	5369247	139	0.9928057553956836	0
132	CP125156.1	1	103	4712455	4712557	3.07e-38	163.0	95.146	99	5369247	104	0.9903846153846154	0
112_R	CP125156.1	1	132	4712559	4712689	2.49e-40	171.0	90.152	100	5369247	132	1.0	0
132	CP125156.1	1	103	4712699	4712801	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
39_R	CP125156.1	1	1688	4712897	4714581	0.0	2765.0	96.274	100	5369247	1688	1.0	0
57_R	CP125156.1	1	523	4714642	4715164	0.0	922.0	98.47	100	5369247	523	1.0	0
99	CP125156.1	1	50	4715212	4715262	3.26e-15	87.9	98.039	31	5369247	159	0.3144654088050314	0
89	CP125156.1	2	207	4715269	4715474	4.08e-90	337.0	96.117	99	5369247	210	0.9809523809523808	0
68	CP125156.1	1	347	4715479	4715825	1.42e-146	525.0	93.966	100	5369247	347	1.0	0
43	CP125156.1	1	1471	4715998	4717465	0.0	2486.0	97.215	99	5369247	1475	0.9972881355932204	0
107_R	CP125156.1	2	139	4717471	4717610	9.359999999999999e-55	219.0	95.0	99	5369247	139	0.9928057553956836	0
103_R	CP125156.1	1	152	4744058	4744209	2.8700000000000002e-65	254.0	96.711	100	5369247	152	1.0	0
77_R	CP125156.1	2	273	4744211	4744482	1.14e-116	425.0	94.853	99	5369247	273	0.9963369963369964	0
107	CP125156.1	1	135	5231582	5231718	9.359999999999999e-55	219.0	95.62	99	5369247	139	0.9712230215827338	0
43_R	CP125156.1	5	1475	5231727	5233195	0.0	2483.0	97.147	99	5369247	1475	0.9972881355932204	0
68_R	CP125156.1	1	347	5233513	5233859	6.56e-150	536.0	94.54	100	5369247	347	1.0	0
89_R	CP125156.1	1	209	5233861	5234069	1.9e-88	331.0	95.215	99	5369247	210	0.9952380952380953	0
99_R	CP125156.1	110	159	5234076	5234126	3.26e-15	87.9	98.039	31	5369247	159	0.3144654088050314	0
57	CP125156.1	1	523	5234174	5234696	0.0	922.0	98.47	100	5369247	523	1.0	0
39	CP125156.1	1	1688	5234757	5236441	0.0	2765.0	96.274	100	5369247	1688	1.0	0
101	CP125156.1	1	155	5236463	5236617	2.96e-60	237.0	94.194	100	5369247	155	1.0	0
132_R	CP125156.1	2	104	5236636	5236738	6.56e-45	185.0	99.029	99	5369247	104	0.9903846153846154	0
114_R	CP127381.1	56	126	48737	48807	2.54e-20	104.0	92.958	54	591691	131	0.5419847328244275	0
130	CP127381.1	21	84	48845	48907	1.2e-17	95.3	93.75	59	591691	108	0.5925925925925926	0
98_R	CP129258.1	1	163	2131	2293	5.2700000000000005e-58	230.0	92.025	100	125149	163	1.0	0
99_R	CP131057.1	111	158	206661	206706	3.28e-10	71.3	93.75	30	801789	159	0.3018867924528302	0
22	CP134901.1	1605	17033	16452	31873	0.0	27693.0	99.073	48	33103	32098	0.4806841547759985	0
22	CP134925.1	8415	18658	1	10244	0.0	18674.0	99.57	32	34186	32098	0.3191476104430182	0
35_R	CP136916.1	1	2368	23909	26276	0.0	4301.0	99.451	84	52980	2828	0.8373408769448374	0
89_R	CP144383.1	40	210	898133	898302	1.98e-58	231.0	91.228	81	2098962	210	0.8142857142857143	0
107_R	CP144550.1	8	72	24659	24722	2.13e-16	91.6	92.308	47	349750	139	0.4676258992805755	0
107	CP144833.1	68	138	29095	29165	5.88e-22	110.0	94.366	51	297036	139	0.5107913669064749	0
85	CP144833.1	77	149	30720	30792	8.07e-18	97.1	90.411	33	297036	223	0.3273542600896861	0
35_R	CP146551.1	1	2368	17594	19961	0.0	4279.0	99.282	84	57674	2828	0.8373408769448374	0
130_R	CP147646.1	16	89	95235	95308	4.28e-22	110.0	93.333	69	136811	108	0.6851851851851852	0
33_R	CP148755.1	1	5299	156059	161323	0.0	8220.0	94.775	100	500287	5299	1.0	0
48	CP148755.1	13	885	161342	162213	0.0	1262.0	92.784	98	500287	887	0.984216459977452	0
127	CP148755.1	6	117	162222	162327	1.69e-31	141.0	90.179	96	500287	117	0.9572649572649572	0
108_R	CP148755.1	1	138	311759	311896	3.3399999999999996e-54	217.0	94.928	100	500287	138	1.0	0
52_R	CP148755.1	1	631	311897	312527	0.0	972.0	94.453	100	500287	631	1.0	0
26_R	CP148755.1	3	8824	312530	321352	0.0	14325.0	95.978	43	500287	20492	0.4305094671091157	0
108_R	CP148755.1	1	138	327234	327371	3.3399999999999996e-54	217.0	94.928	100	500287	138	1.0	0
52_R	CP148755.1	1	631	327372	328002	0.0	983.0	94.77	100	500287	631	1.0	0
18_R	CP148755.1	37659	62249	370564	395153	0.0	37781.0	94.402	34	500287	71941	0.3418217706175894	0
12	CP148755.1	2610	46989	412842	457250	0.0	70131.0	95.186	35	500287	128432	0.3455525102778123	0
12_R	CP148763.1	81444	125823	43051	87464	0.0	70136.0	95.186	35	500307	128432	0.3455525102778123	0
18	CP148763.1	9693	34283	105152	129741	0.0	37759.0	94.386	34	500307	71941	0.3418217706175894	0
52	CP148763.1	1	631	172307	172937	0.0	983.0	94.77	100	500307	631	1.0	0
108	CP148763.1	1	138	172938	173075	3.3399999999999996e-54	217.0	94.928	100	500307	138	1.0	0
26	CP148763.1	11669	20490	178960	187783	0.0	14321.0	95.967	43	500307	20492	0.4305094671091157	0
52	CP148763.1	1	631	187786	188416	0.0	972.0	94.453	100	500307	631	1.0	0
108	CP148763.1	1	138	188417	188554	3.3399999999999996e-54	217.0	94.928	100	500307	138	1.0	0
127_R	CP148763.1	1	112	337979	338084	1.69e-31	141.0	90.179	96	500307	117	0.9572649572649572	0
48_R	CP148763.1	3	875	338093	338964	0.0	1262.0	92.784	98	500307	887	0.984216459977452	0
33	CP148763.1	1	5299	338983	344245	0.0	8240.0	94.849	100	500307	5299	1.0	0
107_R	CP155823.1	8	72	623433	623496	2.13e-16	91.6	92.308	49	828986	139	0.4676258992805755	0
107	CP155823.1	65	129	797782	797845	2.13e-16	91.6	92.308	49	828986	139	0.4676258992805755	0
107	CP155824.1	65	129	215713	215776	2.13e-16	91.6	92.308	47	620917	139	0.4676258992805755	0
35_R	CP157129.1	1	2368	26080	28448	0.0	4362.0	99.916	84	60617	2828	0.8373408769448374	0
22_R	LC663732.1	9967	27666	4123	21790	0.0	29859.0	97.151	55	29615	32098	0.5514362265561717	0
35_R	LC709173.1	1	2368	14646	17013	0.0	4362.0	99.916	84	60727	2828	0.8373408769448374	0
35_R	LC712329.1	1	2368	14646	17013	0.0	4362.0	99.916	84	60727	2828	0.8373408769448374	0
35_R	LC712384.1	1	2368	14646	17013	0.0	4362.0	99.916	84	60727	2828	0.8373408769448374	0
35_R	LC763832.1	1	2368	28171	30535	0.0	4298.0	99.451	84	61259	2828	0.8373408769448374	0
98_R	LR134122.1	2	163	14697	14859	4.04e-64	250.0	94.479	99	568228	163	0.9938650306748468	0
55_R	LR134122.1	1	556	14918	15472	0.0	726.0	90.323	100	568228	556	1.0	0
130_R	LR134122.1	13	89	51333	51409	1.99e-20	104.0	90.909	71	568228	108	0.7129629629629629	0
106_R	LR134122.1	90	141	208515	208566	4.66e-18	97.1	100.0	37	568228	141	0.3687943262411347	0
132	LR134122.1	1	103	208691	208793	6.56e-45	185.0	99.029	99	568228	104	0.9903846153846154	0
39_R	LR134122.1	1	1688	208886	210574	0.0	2802.0	96.627	100	568228	1688	1.0	0
57_R	LR134122.1	1	523	210635	211157	0.0	900.0	97.706	100	568228	523	1.0	0
99	LR134122.1	1	50	211205	211255	3.26e-15	87.9	98.039	31	568228	159	0.3144654088050314	0
89	LR134122.1	2	207	211262	211467	4.08e-90	337.0	96.117	98	568228	210	0.9809523809523808	0
68	LR134122.1	1	347	211472	211818	1.42e-146	525.0	93.966	100	568228	347	1.0	0
43	LR134122.1	1	1471	212145	213614	0.0	2455.0	96.805	99	568228	1475	0.9972881355932204	0
107_R	LR134122.1	2	139	213620	213759	9.3e-60	235.0	97.143	99	568228	139	0.9928057553956836	0
132	LR134124.1	1	102	415110	415211	1.0999999999999999e-42	178.0	98.039	99	791406	104	0.9807692307692308	0
112_R	LR134124.1	4	132	415217	415343	5.3499999999999997e-42	176.0	91.473	98	791406	132	0.9772727272727272	0
132	LR134124.1	1	103	415353	415455	6.56e-45	185.0	99.029	99	791406	104	0.9903846153846154	0
39_R	LR134124.1	1	1688	415548	417238	0.0	2787.0	96.454	100	791406	1688	1.0	0
57_R	LR134124.1	1	523	417299	417821	0.0	900.0	97.706	100	791406	523	1.0	0
99	LR134124.1	1	50	417869	417919	3.26e-15	87.9	98.039	31	791406	159	0.3144654088050314	0
89	LR134124.1	2	207	417926	418131	1.9e-88	331.0	95.631	98	791406	210	0.9809523809523808	0
68	LR134124.1	1	347	418136	418482	1.42e-146	525.0	93.966	100	791406	347	1.0	0
43	LR134124.1	1	1471	418662	420131	0.0	2460.0	96.873	99	791406	1475	0.9972881355932204	0
107_R	LR134124.1	2	139	420137	420276	1.9999999999999997e-61	241.0	97.857	99	791406	139	0.9928057553956836	0
103_R	LR134124.1	1	152	446714	446865	6.17e-67	259.0	97.368	100	791406	152	1.0	0
77_R	LR134124.1	2	273	446867	447138	2.4200000000000003e-123	448.0	96.324	99	791406	273	0.9963369963369964	0
57_R	LR134132.1	1	523	329	851	0.0	905.0	97.897	100	143273	523	1.0	0
99	LR134132.1	1	50	899	949	3.26e-15	87.9	98.039	31	143273	159	0.3144654088050314	0
89	LR134132.1	2	207	958	1163	1.9e-88	331.0	95.631	98	143273	210	0.9809523809523808	0
68	LR134132.1	1	347	1168	1513	5.07e-151	540.0	94.828	100	143273	347	1.0	0
130_R	LR134132.1	11	92	1673	1754	7e-35	152.0	100.0	76	143273	108	0.7592592592592593	0
114	LR134132.1	1	131	1857	1989	6.76e-51	206.0	94.776	100	143273	131	1.0	0
43	LR134132.1	1	1471	1996	3465	0.0	2438.0	96.601	99	143273	1475	0.9972881355932204	0
107_R	LR134132.1	2	139	3471	3610	9.3e-60	235.0	97.143	99	143273	139	0.9928057553956836	0
35_R	LT174530.1	1	2368	27957	30324	0.0	4368.0	99.958	84	61826	2828	0.8373408769448374	0
36_R	MW363524.1	79	2101	1	2035	0.0	3670.0	99.312	96	2113	2101	0.962874821513565	0
36_R	NC_001378.1	1478	2101	1	620	0.0	1116.0	99.04	100	2083	2101	0.2970014278914802	0
36_R	NC_001378.1	1	1477	621	2083	0.0	2615.0	98.781	100	2083	2101	0.7029985721085198	0
35_R	NC_002525.1	1	2368	40958	43325	0.0	4324.0	99.62	84	75582	2828	0.8373408769448374	0
99	NC_003296.1	2	49	1204091	1204138	9.12e-11	73.1	93.75	30	2094509	159	0.3018867924528302	0
89	NC_003296.1	1	171	1204146	1204315	1.98e-58	231.0	91.228	81	2094509	210	0.8142857142857143	0
98_R	NC_007675.1	1	104	128784	128887	1.51e-38	165.0	95.192	64	184501	163	0.6380368098159509	0
89_R	NC_007974.2	40	210	151001	151170	9.21e-57	226.0	90.643	81	2580084	210	0.8142857142857143	0
89_R	NC_007974.2	40	210	475551	475720	9.21e-57	226.0	90.643	81	2580084	210	0.8142857142857143	0
107_R	NC_008042.1	8	72	13835	13898	2.13e-16	91.6	92.308	47	130973	139	0.4676258992805755	0
107_R	NC_008043.1	8	72	178684	178747	2.13e-16	91.6	92.308	49	821788	139	0.4676258992805755	0
107	NC_008043.1	65	129	505987	506050	2.13e-16	91.6	92.308	49	821788	139	0.4676258992805755	0
107	NC_008043.1	65	129	622238	622301	2.13e-16	91.6	92.308	49	821788	139	0.4676258992805755	0
36_R	NC_009347.1	1478	2101	1	624	0.0	1136.0	99.52	100	2101	2101	0.2970014278914802	0
36_R	NC_009347.1	1	1477	625	2101	0.0	2728.0	100.0	100	2101	2101	0.7029985721085198	0
106_R	NC_009716.1	50	141	3043	3133	2.14e-26	124.0	91.304	65	6511	141	0.6524822695035462	0
132	NC_009716.1	1	104	3258	3361	3.92e-47	193.0	100.0	100	6511	104	1.0	0
36_R	NC_010656.1	1478	2101	1	624	0.0	1125.0	99.2	100	2089	2101	0.2970014278914802	0
36_R	NC_010656.1	1	1477	625	2089	0.0	2634.0	98.984	100	2089	2101	0.7029985721085198	0
22	NC_010657.1	1605	17033	15779	31200	0.0	27682.0	99.06	48	33103	32098	0.4806841547759985	0
98_R	NC_012944.1	2	160	137259	137417	1.89e-57	228.0	92.453	98	138362	163	0.9754601226993864	0
107	NC_014621.1	65	133	229960	230027	5.92e-17	93.5	91.304	50	268675	139	0.4964028776978417	0
85_R	NC_016587.1	72	147	47395	47470	7.96e-28	130.0	97.368	34	645253	223	0.3408071748878923	0
36_R	NC_016824.1	79	2101	1	2011	0.0	3648.0	99.308	96	2089	2101	0.962874821513565	0
107	NC_017386.1	65	133	262695	262762	5.92e-17	93.5	91.304	50	267986	139	0.4964028776978417	0
61	NC_017640.1	2	292	10634	10924	5.22e-117	427.0	93.127	67	81475	432	0.6736111111111112	0
55	NC_017640.1	1	556	13605	14159	0.0	743.0	90.827	100	81475	556	1.0	0
98	NC_017640.1	1	162	14218	14379	1.88e-62	244.0	93.827	99	81475	163	0.9938650306748468	0
61	NC_018998.1	167	432	3705	3970	4.15e-98	364.0	91.353	62	91019	432	0.6157407407407407	0
55	NC_018998.1	1	556	3971	4525	0.0	749.0	91.007	100	91019	556	1.0	0
98	NC_018998.1	1	162	4584	4745	1.88e-62	244.0	93.827	99	91019	163	0.9938650306748468	0
35_R	NC_019039.1	264	2368	25156	27260	0.0	3882.0	99.952	74	56676	2828	0.7443422913719944	0
35	NC_019115.1	354	2828	43072	45546	0.0	4532.0	99.717	88	65030	2828	0.8751768033946252	0
22	NC_019128.1	4433	18658	19556	33765	0.0	24539.0	97.825	44	33765	32098	0.4432051841236214	0
22	NC_019129.1	4433	17390	18447	31390	0.0	21606.0	96.789	40	32447	32098	0.4037011651816312	0
22	NC_019130.1	4433	18658	19554	33763	0.0	24528.0	97.811	44	33763	32098	0.4432051841236214	0
98	NC_019254.1	60	163	21637	21740	7.0100000000000005e-37	159.0	94.231	64	54291	163	0.6380368098159509	0
27	NC_020270.1	5608	17157	15891	27422	0.0	20582.0	98.857	61	62196	19051	0.6062673875387119	0
35_R	NC_020270.1	1	2368	28852	31219	0.0	4263.0	99.155	84	62196	2828	0.8373408769448374	0
22_R	NC_021079.1	15063	30494	22514	37935	0.0	27669.0	99.041	48	41919	32098	0.4807776185432114	0
99	NC_021742.1	1	52	17	68	1.17e-14	86.1	96.154	33	44107	159	0.3270440251572327	0
89	NC_021742.1	2	207	75	280	4.11e-85	320.0	94.686	98	44107	210	0.9809523809523808	0
130_R	NC_021742.1	12	90	819	897	3.28e-28	130.0	96.203	73	44107	108	0.7314814814814815	0
114	NC_021742.1	1	125	933	1061	1.8899999999999998e-46	191.0	93.798	95	44107	131	0.9541984732824428	0
43	NC_021742.1	7	1471	1082	2547	0.0	2307.0	95.109	99	44107	1475	0.9932203389830508	0
107_R	NC_021742.1	2	84	2554	2637	5.8400000000000004e-27	126.0	94.048	60	44107	139	0.5971223021582733	0
77_R	NC_021742.1	2	273	34046	34317	5.36e-105	387.0	92.308	99	44107	273	0.9963369963369964	0
112_R	NC_021742.1	47	128	34964	35045	9.15e-25	119.0	92.683	62	44107	132	0.6212121212121212	0
132	NC_021742.1	1	103	40117	40219	3.05e-43	180.0	98.058	99	44107	104	0.9903846153846154	0
39_R	NC_021742.1	1	1688	40321	42011	0.0	2621.0	94.687	100	44107	1688	1.0	0
113_R	NC_021742.1	2	43	42024	42064	2.57e-10	71.3	97.619	32	44107	131	0.3206106870229007	0
57_R	NC_021742.1	1	515	42073	42587	0.0	902.0	98.252	98	44107	523	0.9847036328871892	0
99	NC_021742.1	1	52	42643	42694	1.17e-14	86.1	96.154	33	44107	159	0.3270440251572327	0
89	NC_021742.1	2	207	42701	42906	4.11e-85	320.0	94.686	98	44107	210	0.9809523809523808	0
68	NC_021742.1	1	347	42911	43257	6.75e-130	470.0	91.066	100	44107	347	1.0	0
22_R	NC_021841.1	8893	24600	19603	35296	0.0	27510.0	98.297	49	35297	32098	0.4893762851267992	0
107	NC_022042.1	65	129	29473	29536	2.13e-16	91.6	92.308	47	118164	139	0.4676258992805755	0
22_R	NC_022105.1	2517	31147	1	28633	0.0	52791.0	99.948	89	35341	32098	0.8919870396909465	0
27	NC_022520.1	5608	14128	13524	22082	0.0	15084.0	98.551	45	77801	19051	0.4472731090231484	0
35_R	NC_022520.1	1	2368	25687	28054	0.0	4279.0	99.282	84	77801	2828	0.8373408769448374	0
98	NC_023327.1	1	163	39757	39919	5.2700000000000005e-58	230.0	92.025	100	168543	163	1.0	0
35_R	NZ_AP017614.1	1	2368	27936	30303	0.0	4368.0	99.958	84	61805	2828	0.8373408769448374	0
35_R	NZ_AP017619.1	1	2828	27936	30763	0.0	5217.0	99.965	100	61223	2828	1.0	0
35_R	NZ_AP017622.1	1	2368	27936	30303	0.0	4368.0	99.958	84	60722	2828	0.8373408769448374	0
35	NZ_AP018355.1	461	2828	33934	36297	0.0	4331.0	99.705	84	66807	2828	0.8373408769448374	0
27_R	NZ_AP018355.1	8160	16270	47584	55699	0.0	14717.0	99.409	43	66807	19051	0.4257519290325967	0
22_R	NZ_AP018411.1	15063	32098	12792	29828	0.0	31416.0	99.953	53	33310	32098	0.5307495794130476	0
35_R	NZ_AP018412.1	1	2368	26368	28735	0.0	4362.0	99.916	84	60732	2828	0.8373408769448374	0
35_R	NZ_AP018806.1	1	2368	26863	29230	0.0	4362.0	99.916	84	60684	2828	0.8373408769448374	0
35_R	NZ_AP018812.1	1	2368	28546	30912	0.0	4355.0	99.873	84	62235	2828	0.8373408769448374	0
107	NZ_AP019786.1	58	135	21832	21909	7.55e-26	122.0	94.872	56	70338	139	0.5611510791366906	0
98	NZ_AP019804.1	60	163	53188	53291	7.0100000000000005e-37	159.0	94.231	64	123767	163	0.6380368098159509	0
36_R	NZ_AP021968.1	1	2079	23	2113	0.0	3773.0	99.331	99	2113	2101	0.9895287958115184	0
36_R	NZ_AP022054.1	1	2079	23	2089	0.0	3746.0	99.279	99	2089	2101	0.9895287958115184	0
36_R	NZ_AP022076.1	1	2079	23	2100	0.0	3816.0	99.808	99	2100	2101	0.9895287958115184	0
36_R	NZ_AP022104.1	1	2079	23	2088	0.0	3744.0	99.279	99	2088	2101	0.9895287958115184	0
36_R	NZ_AP022170.1	1	2079	23	2088	0.0	3744.0	99.279	99	2088	2101	0.9895287958115184	0
36_R	NZ_AP022212.1	1	2079	23	2089	0.0	3751.0	99.327	99	2089	2101	0.9895287958115184	0
107_R	NZ_AP022333.1	8	78	324768	324838	1.27e-18	99.0	91.667	51	324889	139	0.5107913669064749	0
27	NZ_AP022484.1	5608	14498	9444	18347	0.0	15688.0	98.498	47	63027	19051	0.4666946616975487	0
35_R	NZ_AP022484.1	1	2368	26783	29150	0.0	4290.0	99.367	84	63027	2828	0.8373408769448374	0
36_R	NZ_AP022657.1	396	2101	1	1718	0.0	3085.0	99.186	81	2113	2101	0.8119942884340791	0
89_R	NZ_AP023182.1	40	210	522165	522334	4.2499999999999997e-60	237.0	91.813	81	1440798	210	0.8142857142857143	0
134	NZ_AP023206.1	1	100	320944	321045	8.1e-39	165.0	96.078	100	404189	100	1.0	0
107	NZ_AP023206.1	1	139	321179	321321	7.240000000000001e-56	222.0	95.105	100	404189	139	1.0	0
43_R	NZ_AP023206.1	1	1475	321323	322797	0.0	2525.0	97.561	100	404189	1475	1.0	0
114_R	NZ_AP023206.1	1	131	322804	322933	1.87e-56	224.0	97.71	100	404189	131	1.0	0
130	NZ_AP023206.1	1	107	322954	323062	1.16e-37	161.0	93.636	99	404189	108	0.9907407407407408	0
68_R	NZ_AP023206.1	1	347	323218	323564	6.419999999999999e-165	586.0	97.118	100	404189	347	1.0	0
89_R	NZ_AP023206.1	1	209	323566	323774	1.87e-98	364.0	98.086	99	404189	210	0.9952380952380953	0
99_R	NZ_AP023206.1	113	159	323787	323833	3.26e-15	87.9	100.0	30	404189	159	0.2955974842767295	0
57	NZ_AP023206.1	1	523	323881	324403	0.0	944.0	99.235	100	404189	523	1.0	0
39	NZ_AP023206.1	1	1688	324465	326150	0.0	2878.0	97.454	100	404189	1688	1.0	0
132_R	NZ_AP023206.1	1	104	326243	326346	3.92e-47	193.0	100.0	100	404189	104	1.0	0
128	NZ_AP023206.1	22	114	326527	326619	2.69e-39	167.0	98.925	82	404189	114	0.8157894736842105	0
128	NZ_AP023206.1	37	113	334766	334842	2.1099999999999998e-30	137.0	98.701	82	404189	114	0.6754385964912281	0
98_R	NZ_AP023221.2	1	104	67363	67466	7.0100000000000005e-37	159.0	94.231	64	130926	163	0.6380368098159509	0
36_R	NZ_AP023223.2	350	2101	1	1752	0.0	3225.0	99.886	83	2101	2101	0.8338886244645407	0
22	NZ_AP023229.1	1	10810	21638	32452	0.0	18980.0	98.356	34	32452	32098	0.3367811078571873	0
98	NZ_AP023232.2	60	163	103353	103456	7.0100000000000005e-37	159.0	94.231	64	130942	163	0.6380368098159509	0
36_R	NZ_AP023234.2	197	2101	1	1905	0.0	3507.0	99.895	91	2101	2101	0.9067110899571632	0
98	NZ_AP023435.1	60	163	56131	56234	7.0100000000000005e-37	159.0	94.231	64	130897	163	0.6380368098159509	0
36_R	NZ_AP023437.1	79	1673	1	1594	0.0	2911.0	99.624	76	2287	2101	0.7591623036649214	0
